iter	Passed	Remaining
412	3455	4910
413	3462	4900
414	3469	4890
415	3477	4881
416	3485	4872
417	3492	4863
418	3499	4853
419	3507	4843
420	3515	4834
421	3523	4825
422	3531	4816
423	3538	4807
424	3547	4799
425	3554	4790
426	3562	4780
427	3569	4770
428	3577	4761
429	3585	4753
430	3593	4744
431	3601	4735
432	3609	4725
433	3616	4716
434	3623	4706
435	3631	4697
436	3638	4687
437	3646	4678
438	3654	4669
439	3661	4660
440	3668	4650
441	3675	4640
442	3683	4630
443	3690	4621
444	3698	4612
445	3705	4602
446	3712	4593
447	3720	4583
448	3728	4576
449	3737	4568
450	3745	4559
451	3754	4551
452	3761	4542
453	3769	4533
454	3778	4525
455	3786	4516
456	3794	4508
457	3801	4498
458	3809	4489
459	3816	4480
460	3824	4471
461	3830	4461
462	3837	4451
463	3845	4441
464	3852	4432
465	3859	4423
466	3867	4414
467	3875	4405
468	3882	4395
469	3890	4387
470	3898	4378
471	3905	4369
472	3913	4359
473	3920	4350
474	3928	4342
475	3936	4333
476	3943	4323
477	3951	4315
478	3959	4307
479	3967	4298
480	3975	4289
481	3983	4280
482	3990	4271
483	3997	4262
484	4005	4253
485	4012	4243
486	4020	4234
487	4027	4225
488	4034	4216
489	4041	4206
490	4048	4197
491	4056	4188
492	4063	4179
493	4071	4170
494	4078	4160
495	4086	4151
496	4093	4142
497	4100	4133
498	4107	4124
499	4114	4114
500	4121	4104
501	4128	4095
502	4135	4085
503	4141	4076
504	4149	4067
505	4156	4058
506	4163	4048
507	4171	4039
508	4178	4030
509	4185	4021
510	4192	4012
511	4199	4003
512	4206	3993
513	4214	3984
514	4222	3976
515	4229	3966
516	4236	3957
517	4243	3948
518	4250	3939
519	4257	3929
520	4264	3920
521	4272	3912
522	4279	3903
523	4287	3894
524	4295	3886
525	4302	3876
526	4309	3868
527	4316	3858
528	4323	3849
529	4330	3840
530	4338	3831
531	4346	3823
532	4352	3813
533	4359	3804
534	4367	3796
535	4374	3787
536	4382	3778
537	4389	3769
538	4396	3760
539	4404	3751
540	4411	3743
541	4419	3734
542	4426	3725
543	4434	3716
544	4441	3708
545	4449	3699
546	4456	3690
547	4464	3682
548	4472	3673
549	4479	3665
550	4487	3656
551	4494	3647
552	4501	3638
553	4508	3629
554	4515	3620
555	4522	3611
556	4529	3602
557	4536	3593
558	4543	3584
559	4550	3575
560	4557	3566
561	4564	3557
562	4572	3548
563	4579	3540
564	4587	3532
565	4594	3522
566	4601	3514
567	4608	3505
568	4615	3496
569	4622	3487
570	4629	3478
571	4637	3469
572	4644	3460
573	4651	3452
574	4658	3443
575	4666	3434
576	4673	3426
577	4680	3417
578	4688	3409
579	4696	3400
580	4703	3391
581	4710	3383
582	4717	3374
583	4724	3365
584	4732	3356
585	4739	3348
586	4746	3339
587	4753	3330
588	4760	3321
589	4767	3313
590	4775	3304
591	4782	3296
592	4789	3287
593	4798	3279
594	4805	3271
595	4813	3262
596	4820	3254
597	4827	3245
598	4834	3236
599	4841	3227
600	4849	3219
601	4856	3210
602	4863	3202
603	4870	3193
604	4878	3185
605	4886	3177
606	4893	3168
607	4901	3160
608	4908	3151
609	4916	3143
610	4923	3134
611	4930	3125
612	4937	3116
613	4944	3108
614	4951	3099
615	4958	3091
616	4965	3082
617	4972	3073
618	4980	3065
619	4988	3057
620	4996	3049
621	5003	3040
622	5010	3032
623	5018	3023
624	5024	3014
625	5032	3006
626	5039	2998
627	5047	2989
628	5054	2981
629	5061	2972
630	5069	2964
631	5077	2956
632	5084	2947
633	5092	2939
634	5099	2931
635	5106	2922
636	5113	2914
637	5120	2905
638	5128	2897
639	5136	2889
640	5143	2880
641	5150	2871
642	5157	2863
643	5165	2855
644	5173	2847
645	5181	2839
646	5188	2831
